ref_issue,number,ref_time,ref_author,ref_comment,itype,close_author,close_time,close,close_type,related_pr,#comment,#participants,part_names
spacetelescope/PyFITS#82,7145,,,,issue,SaraOgaz,2017-12-13T15:54:50Z,,close,[],2,2,"['embray', 'SaraOgaz']"
sunpy/sunpy#2390,7069,,,,issue,nabobalis,2018-01-30T09:08:56Z,,close,[],2,2,"['nabobalis', 'Cadair']"
gammapy/gammapy#1248,7051,2018-01-13 22:38:52,cdeil,0,issue,,,,,[],2,1,['cdeil']
numpy/numpy#10369,7051,,,,issue,mhvk,2018-01-11T13:49:30Z,#10371,close,[],3,2,"['saimn', 'mhvk']"
,,,,,,,,,,,,,
nanograv/enterprise#147,7051,2018-01-17 14:45:12,jellis18,1,issue,,,,,[],3,2,"['CaseyMcGrath', 'jellis18']"
shbhuk/barycorrpy#5,7051,2018-01-11 22:08:19,mzechmeister,1,issue,,,,,[],3,2,"['shbhuk', 'mzechmeister']"
numpy/numpy#10371,7051,,,,pr,,,,,[],4,4,"['saimn', 'mhvk', 'eric-wieser', 'charris']"
numpy/numpy#10343,7051,2018-01-14 01:33:03,mhvk,6,issue,charris,2018-02-05T17:33:08Z,#10352,close,[],9,5,"['d70-t', 'charris', 'eric-wieser', 'mhvk', 'seberg']"
matplotlib/matplotlib#7656,6969,,,,issue,NelleV,2017-01-11T18:17:45Z,#7731,close,[],3,2,"['cdeil', 'tacaswell']"
numpy/numpy#10104,6838,2017-11-27 22:23:28,mhvk,0,pr,,,,,[],3,1,['mhvk']
numpy/numpy#8590,6838,,,,pr,,,,,[],38,5,"['mhvk', 'charris', 'ahaldane', 'eric-wieser', 'homu']"
,,,,,,,,,,,,,
numpy/numpy#9332,6824,,,,pr,,,,,[],69,4,"['ahaldane', 'eric-wieser', 'mhvk', 'charris']"
